Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,MSCI,MSCI,MSCI,MSCI,MSCI,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA,BHP.AX,BHP.AX,BHP.AX,BHP.AX,BHP.AX,JPM,JPM,JPM,JPM,JPM,AAPL,AAPL,AAPL,AAPL,AAPL,XOM,XOM,XOM,XOM,XOM,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,7203.T,7203.T,7203.T,7203.T,7203.T
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,7.455211453972492,7.5187422148554015,7.423446073531037,7.5035504887009665,17509700.0,243.22084797860023,248.80364154920076,242.89354288231286,248.79428100585938,543300.0,280.65360090841494,287.43164367384975,280.4417739418906,285.31350328963526,775137.0,418.52713478007837,422.0315485880455,416.9251109280807,419.67857892005486,347226.0,15.55066669536465,15.72345279900666,15.55066669536465,15.651123612260562,3044535.0,117.3390963518269,118.43871526293431,116.89421774236182,118.43031311035156,10803700.0,71.34405442839761,72.39408555090253,71.0911838210517,72.33387756347656,135480400.0,52.454152323691936,53.03664344023333,52.454152323691936,52.9470329284668,12456400.0,9.483675764947082,9.54052788782385,9.405582812839818,9.43119675397071,14004468.0,11.57044488744771,11.611555079880022,11.465383235072435,11.518675189020314,33361500.0
2020-01-02,7.45611328485524,7.519651730832331,7.424344061866694,7.50445816698786,17509700.0,243.22084797860023,248.80364154920076,242.89354288231286,248.79428100585938,543300.0,280.65360090841494,287.43164367384975,280.4417739418906,285.31350328963526,775137.0,418.52713478007837,422.0315485880455,416.9251109280807,419.67857892005486,347226.0,15.556234385912663,15.72908235311171,15.556234385912663,15.656727269949897,3044535.0,117.3390963518269,118.43871526293431,116.89421774236182,118.43031311035156,10803700.0,71.34405442839761,72.39408555090253,71.0911838210517,72.33387756347656,135480400.0,52.454152323691936,53.03664344023333,52.454152323691936,52.9470329284668,12456400.0,9.479548267890157,9.661051787562682,9.479548267890157,9.625628627139236,17710316.0,11.56703925168838,11.608137343778587,11.462008523078245,11.5152847911138,33361500.0
2020-01-03,7.401592242272887,7.514656760629306,7.387804091637903,7.4360631448445815,17284800.0,245.19403991818942,246.48451083292068,242.45405444760706,243.83807373046875,459700.0,282.3180087700807,283.6360200155059,279.52383136538106,282.5289034405523,823902.0,415.6881569168337,417.7815565971323,412.7972861305036,417.7815565971323,291716.0,15.780174111763019,15.804174544684248,15.65217408778925,15.66017366086146,3403891.0,116.15785399145182,117.61932738145413,115.8030460933789,116.86746978759766,10386800.0,71.56321309934685,72.38926493117573,71.40667380039741,71.63064575195312,146322800.0,53.275629996150805,53.29803832820881,52.39442931742718,52.52138137817383,17386900.0,9.558720880294175,9.612656804209951,9.496367952061247,9.584597903259123,20984698.0,11.585155406970735,11.626317866389687,11.479960180519145,11.533319889193535,33361500.0
2020-01-06,7.356699315413727,7.356699315413727,7.267817572204028,7.330718594468351,32787800.0,241.8088003308725,245.1472612832653,240.14425012682216,245.05374145507812,450900.0,278.12782346246087,278.12782346246087,273.01827179067885,277.17966685807187,1111607.0,413.3434644253162,414.53868660123663,406.9690170771867,413.4928595983656,363953.0,15.572257552567464,15.675648587461186,15.421147316392217,15.667695955130512,4481459.0,115.36377043840189,116.80835761995961,115.31308543034523,116.7745590209961,10259000.0,70.75402846338375,72.23995764322866,70.5035611498287,72.20142364501953,118387200.0,52.513899167658025,53.29055592888231,52.44669128037195,52.92463302612305,20081900.0,9.435909520375844,9.484950847382766,9.29933690037254,9.32106453217159,24519177.0,11.647284837049225,11.688668044490496,11.541525464564474,11.595171333257667,33361500.0
2020-01-07,7.309552068898812,7.403824608887559,7.295889563227811,7.377865639636184,16326400.0,243.94091019191382,248.14904542731293,243.8286978184221,245.39039611816406,460700.0,280.8224558989251,284.4687949517199,280.66389277334645,283.6761083418296,1125028.0,417.27590280050026,421.22281887191286,415.07759804369056,415.6771384768108,363885.0,15.691877450073639,15.765371424304696,15.616397290211356,15.711741008344461,5143010.0,115.9719765023705,116.46195289602231,114.73859876178504,114.7892837524414,10531300.0,72.21103349810856,72.46631471524569,71.64267376172208,71.86183166503906,108872000.0,52.64830583809858,52.66323902079213,51.90899079822904,52.49148178100586,17387700.0,9.422345336255477,9.518492291869793,9.388229021873034,9.457082760352137,16683622.0,11.683753020323257,11.787554137882774,11.630325878610744,11.776868523201188,24803500.0
2020-01-08,7.394629316312369,7.417822552956418,7.315498347990236,7.368706851300999,15298500.0,245.97953837078802,251.76806442609768,245.97953837078802,249.27122497558594,528700.0,282.73823754282216,286.2652338731884,281.7380656538515,285.00185378239803,1148323.0,412.77741693490174,416.8583845790854,411.63272416163073,416.8583845790854,360741.0,15.498258296131798,15.616116599214449,15.333258354905029,15.54540161736486,6080370.0,114.63725414374525,116.22545312966461,114.55278342792542,115.6847915649414,9695300.0,71.56562867701548,73.31888511458335,71.56562867701548,73.0178451538086,132079200.0,52.357069993161,52.49149145222296,51.6550906294469,51.69990158081055,15137700.0,9.348957090701797,9.468981111906654,9.318102503937684,9.337540786496561,16047902.0,11.589589884942844,11.707554172568152,11.552821479559057,11.669254139901454,28061000.0
2020-01-09,7.33937245695848,7.3557578868289815,7.24378982776094,7.277926443839817,14638000.0,251.6838929005624,254.01238514015185,249.0000139336025,250.45883178710938,470000.0,284.77993370737744,288.2413344621354,284.255477107548,285.7239491850123,999941.0,418.479774218048,420.9589197999085,417.83520241936577,420.9589197999085,378062.0,15.678110920583997,15.833593165594673,15.662365221371806,15.756836043891553,5921069.0,116.6224737785565,116.7745287633272,115.76923339605881,116.1071548461914,9469000.0,73.99320238999518,74.76145686133366,73.74274246581768,74.56879425048828,170108400.0,51.63269455227166,52.200252528920075,51.25183275369698,52.095703125,14811800.0,9.594053975710471,9.665139153612602,9.54822256732702,9.65266836187402,14982742.0,11.644096475860849,11.671415598883806,11.59249296743058,11.641060811890611,21265000.0
2020-01-10,7.286819518764584,7.303087622189492,7.200055610960162,7.233947794768369,9129200.0,250.58981622375063,250.9545064922025,246.95210285501875,248.48574829101562,339100.0,285.6699935925753,285.87974941923204,281.47513309340604,281.6848889200628,738176.0,421.5734732059382,422.66406707915667,419.0452040501214,420.03667503107863,268887.0,15.615447622994584,15.686088494924261,15.529109900408345,15.658617324950228,4750227.0,115.91288288242792,115.94666858948106,114.73017688935886,114.9498291015625,10190900.0,74.80239504412852,75.30091887725054,74.23643856809193,74.73736572265625,140644800.0,52.222658705566054,52.24506133685402,51.617764870728585,51.63269805908203,11995600.0,9.706564761162594,9.744405465102135,9.629945602587867,9.6799829108557,12478359.0,11.628238363171686,11.632771604968545,11.561747742391317,11.576859163266136,17417000.0
